,city,clouds,country,date,humidity,latitude,longtitude,Max Temp,Wind Speed
111,New Norfolk,75,AU,1512363600,51,-42.78,147.06,59.0,16.11
112,Cidreira,92,BR,1512365251,98,-30.18,-50.21,68.68,2.06
113,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
114,Takoradi,8,GH,1512365448,100,4.88,-1.76,78.94,3.8
115,Nikolayevka,92,RU,1512365449,98,53.13,47.2,33.27,13.13
116,Tuktoyaktuk,40,CA,1512363600,77,69.45,-133.04,1.4,14.99
117,Ngunguru,0,NZ,1512365450,90,-35.62,174.5,67.24,13.98
118,Qaanaaq,64,GL,1512365236,91,77.48,-69.36,13.56,4.29
119,Bethel,1,US,1512363360,92,41.37,-73.41,41.0,2.24
120,Carnarvon,92,AU,1512365171,82,-24.87,113.63,77.64,15.88
121,Punta Arenas,0,CL,1512363600,66,-53.15,-70.92,55.4,21.92
122,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
123,Hobart,75,AU,1512363600,51,-42.88,147.33,59.0,16.11
124,Bougouni,24,ML,1512365452,64,11.42,-7.48,63.69,3.4
125,Lompoc,0,US,1512363480,91,34.64,-120.46,55.4,8.05
126,Hermanus,20,ZA,1512365452,72,-34.42,19.23,61.03,4.85
127,Kamaishi,75,JP,1512360000,100,39.27,141.88,39.2,5.82
128,Aketi,8,CD,1512365453,91,2.74,23.78,74.67,3.13
129,Ushuaia,0,AR,1512360000,50,-54.8,-68.3,57.2,2.24
130,Ilulissat,64,GL,1512363000,57,69.22,-51.1,21.2,16.11
131,Barillas,44,GT,1512365455,100,15.8,-91.32,54.28,0.78
132,Alice,1,US,1512363360,94,27.75,-98.07,71.6,5.82
133,Kruisfontein,8,ZA,1512365307,81,-34.0,24.73,65.17,3.74
134,Upernavik,76,GL,1512365275,100,72.79,-56.15,21.84,2.13
135,Hobart,75,AU,1512363600,51,-42.88,147.33,59.0,16.11
136,Vardo,40,NO,1512363000,86,70.37,31.11,30.2,17.22
137,Tuktoyaktuk,40,CA,1512363600,77,69.45,-133.04,1.4,14.99
138,Anton Lizardo,40,MX,1512362520,94,19.05,-95.98,69.8,4.7
139,Pierre,1,US,1512363180,92,44.37,-100.35,30.2,4.7
140,Fayaoue,20,NC,1512365458,100,-20.65,166.53,77.32,13.58
141,Arroyos y Esteros,0,PY,1512363600,94,-25.07,-57.1,73.4,6.64
142,Gravelbourg,0,CA,1512365459,86,49.88,-106.55,24.67,13.69
143,Bredasdorp,8,ZA,1512363600,68,-34.53,20.04,64.4,1.12
144,Victoria,75,CA,1512363600,86,48.43,-123.37,39.2,3.36
145,Kumluca,20,TR,1512365460,76,36.37,30.29,30.39,1.5
146,Caravelas,56,BR,1512365460,100,-17.71,-39.25,78.54,19.57
147,Hilo,90,US,1512363360,68,19.73,-155.09,71.6,8.05
148,Oktyabrskiy,92,RU,1512365461,86,54.48,53.47,22.51,12.97
149,Port Alfred,24,ZA,1512365231,93,-33.59,26.89,67.29,3.62
150,Ayr,40,GB,1512363000,87,55.46,-4.63,48.2,5.82
151,La Trinitaria,64,MX,1512365462,93,16.12,-92.05,58.78,2.73
152,Ushuaia,0,AR,1512360000,50,-54.8,-68.3,57.2,2.24
153,Upata,80,VE,1512365463,98,8.01,-62.4,72.37,4.81
154,Manggar,88,ID,1512365464,100,-2.88,108.27,77.64,4.52
155,Tecoanapa,0,MX,1512365464,99,16.52,-98.75,60.94,2.51
156,Boende,56,CD,1512365371,96,-0.22,20.87,74.62,3.06
157,Sao Joao da Barra,92,BR,1512365254,100,-21.64,-41.05,73.0,5.53
158,Hermanus,20,ZA,1512365452,72,-34.42,19.23,61.03,4.85
159,Neuquen,0,AR,1512360000,67,-38.95,-68.06,62.6,5.82
160,Busselton,80,AU,1512365244,92,-33.65,115.33,70.89,8.43
161,Alice Springs,0,AU,1512363600,30,-23.7,133.88,80.6,13.87
162,Busselton,80,AU,1512365244,92,-33.65,115.33,70.89,8.43
163,Faanui,24,PF,1512365468,97,-16.48,-151.75,82.63,11.97
164,Khatanga,0,RU,1512365469,28,71.97,102.5,-19.3,9.78
165,Ushuaia,0,AR,1512360000,50,-54.8,-68.3,57.2,2.24
166,San Patricio,20,MX,1512365470,100,19.22,-104.7,66.07,2.35
167,Shihezi,68,CN,1512365470,80,44.3,86.03,24.99,4.29
168,Lebu,20,CL,1512365256,98,-37.62,-73.65,53.97,17.83
169,Geraldton,40,AU,1512363600,65,-28.77,114.6,78.8,13.87
170,Sambava,88,MG,1512365345,100,-14.27,50.17,78.58,17.34
171,Kruisfontein,8,ZA,1512365307,81,-34.0,24.73,65.17,3.74
172,Bluff,92,NZ,1512365393,80,-46.6,168.33,66.66,17.16
173,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
174,Hermanus,20,ZA,1512365452,72,-34.42,19.23,61.03,4.85
175,Bredasdorp,8,ZA,1512363600,68,-34.53,20.04,64.4,1.12
176,Vestmannaeyjar,92,IS,1512365308,100,63.44,-20.27,41.37,13.13
177,Conway,75,US,1512364500,76,35.09,-92.44,60.8,6.53
178,Richards Bay,88,ZA,1512365474,81,-28.78,32.04,72.1,9.62
179,Nantucket,75,US,1512364500,100,41.28,-70.1,42.8,6.93
180,New Norfolk,75,AU,1512363600,51,-42.78,147.06,59.0,16.11
181,Chuy,92,UY,1512365444,89,-33.7,-53.46,63.46,15.21
182,Port Moresby,32,PG,1512365476,98,-9.44,147.18,82.77,18.34
183,Clyde River,75,CA,1512363600,76,70.47,-68.59,-4.01,2.24
184,Punta Arenas,0,CL,1512363600,66,-53.15,-70.92,55.4,21.92
185,Bambous Virieux,40,MU,1512363600,62,-20.34,57.76,84.2,16.11
186,Rundu,36,NA,1512363600,77,-17.93,19.77,69.8,3.36
187,Port Alfred,24,ZA,1512365231,93,-33.59,26.89,67.29,3.62
188,Kabanjahe,75,ID,1512360000,74,3.1,98.49,86.0,8.05
189,Cabedelo,40,BR,1512363600,88,-6.98,-34.83,75.2,4.7
190,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
191,Galesong,20,ID,1512363600,63,-5.32,119.37,91.4,6.93
192,Clyde River,75,CA,1512363600,76,70.47,-68.59,-4.01,2.24
193,Port Elizabeth,0,ZA,1512363600,72,-33.92,25.57,66.2,2.24
194,Talara,44,PE,1512365481,86,-4.58,-81.27,66.43,6.26
195,Maiduguri,12,NG,1512365369,57,11.85,13.16,57.34,3.24
196,Vostok,44,RU,1512365481,50,46.49,135.88,0.28,3.36
197,Guerrero Negro,76,MX,1512365398,100,27.98,-114.06,61.84,6.64
198,Busselton,80,AU,1512365244,92,-33.65,115.33,70.89,8.43
199,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
200,Fortuna,1,US,1512363300,81,40.6,-124.16,44.6,6.93
201,Saint-Georges,88,CA,1512365348,95,46.62,-72.66,25.12,2.01
202,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
203,Pyapon,0,MM,1512365484,63,16.28,95.68,89.16,8.84
204,Tessalit,48,ML,1512365484,51,20.2,1.01,55.59,3.51
205,Dikson,12,RU,1512365266,95,73.51,80.55,2.89,17.49
206,Gigmoto,100,PH,1512365485,100,13.78,124.39,80.83,9.95
207,Camacha,40,PT,1512363600,59,33.08,-16.33,64.4,13.87
208,Arraial do Cabo,75,BR,1512363600,94,-22.97,-42.03,73.4,3.36
209,Port Elizabeth,0,ZA,1512363600,72,-33.92,25.57,66.2,2.24
210,Kidal,48,ML,1512365487,62,18.44,1.41,49.87,3.13
211,Palmer,90,US,1512363360,86,42.16,-72.33,37.4,2.28
212,Hermanus,20,ZA,1512365452,72,-34.42,19.23,61.03,4.85
213,Hermanus,20,ZA,1512365452,72,-34.42,19.23,61.03,4.85
214,Takoradi,8,GH,1512365448,100,4.88,-1.76,78.94,3.8
215,Kutum,0,SD,1512365489,51,14.2,24.67,54.46,7.31
216,Arraial do Cabo,75,BR,1512363600,94,-22.97,-42.03,73.4,3.36
217,Brae,88,GB,1512363000,87,60.4,-1.35,46.4,4.7
218,Punta Arenas,0,CL,1512363600,66,-53.15,-70.92,55.4,21.92
219,Carnarvon,92,AU,1512365171,82,-24.87,113.63,77.64,15.88
220,Tomatlan,12,MX,1512365490,86,19.93,-105.25,64.36,2.57
221,Constitucion,0,CL,1512365491,98,-35.33,-72.42,52.39,10.11
222,Dudinka,64,RU,1512365492,80,69.41,86.18,4.02,7.09
223,Busselton,80,AU,1512365244,92,-33.65,115.33,70.89,8.43
224,Lebu,20,CL,1512365256,98,-37.62,-73.65,53.97,17.83
225,Makarov,32,RU,1512365493,100,48.63,142.8,11.67,9.78
226,Albany,1,US,1512364500,92,42.65,-73.76,35.6,1.79
227,East London,0,ZA,1512363600,88,-33.02,27.91,64.4,4.7
228,Morondava,12,MG,1512365494,96,-20.28,44.28,81.24,3.29
229,Saint-Philippe,0,RE,1512363600,66,-21.36,55.77,84.2,8.05
230,Lebu,20,CL,1512365256,98,-37.62,-73.65,53.97,17.83
231,Hambantota,12,LK,1512365298,100,6.12,81.12,82.14,2.51
232,Businga,8,CD,1512365495,82,3.33,20.88,76.47,2.35
233,Dingle,20,PH,1512365496,64,11.0,122.67,86.86,12.3
234,Atuona,68,PF,1512365413,97,-9.8,-139.03,81.51,18.12
235,Tuktoyaktuk,40,CA,1512363600,77,69.45,-133.04,1.4,14.99
236,Cape Town,20,ZA,1512363600,63,-33.93,18.42,64.4,17.22
237,Sawtell,90,AU,1512363600,83,-30.38,153.1,75.2,6.93
238,Port Alfred,24,ZA,1512365231,93,-33.59,26.89,67.29,3.62
239,Luderitz,0,NA,1512363600,82,-26.65,15.16,57.2,6.93
240,Diego de Almagro,0,CL,1512365498,78,-26.37,-70.05,47.98,2.28
241,Brigantine,90,US,1512364980,100,39.41,-74.36,35.6,4.7
242,Klaksvik,92,FO,1512363000,100,62.23,-6.59,46.4,24.16
243,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
244,Vila Franca do Campo,40,PT,1512363600,88,37.72,-25.43,64.4,8.05
245,Yeppoon,75,AU,1512363600,58,-23.13,150.73,82.4,5.82
246,Tiznit,0,MA,1512365500,78,29.58,-9.5,35.92,5.08
247,Anloga,20,GH,1512363600,88,5.79,0.9,78.8,4.7
248,Qaanaaq,64,GL,1512365236,91,77.48,-69.36,13.56,4.29
249,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
250,Sharjah,0,AE,1512363600,49,25.36,55.4,77.0,8.05
251,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
252,Saskylakh,12,RU,1512365503,42,71.92,114.08,-26.9,6.04
253,Ushuaia,0,AR,1512360000,50,-54.8,-68.3,57.2,2.24
254,Mar del Plata,75,AR,1512360000,82,-38.0,-57.56,55.4,12.75
255,Port Alfred,24,ZA,1512365231,93,-33.59,26.89,67.29,3.62
256,Fortuna,1,US,1512363300,81,40.6,-124.16,44.6,6.93
257,Loudi,12,CN,1512365504,85,27.73,111.99,58.02,11.34
258,Munster,1,US,1512364500,61,41.56,-87.51,53.6,13.87
259,Greeneville,75,US,1512363300,76,36.16,-82.83,41.0,2.13
260,Sijunjung,80,ID,1512365505,69,-0.69,100.95,79.84,8.05
261,Santo Antonio do Leverger,0,BR,1512363600,94,-15.87,-56.08,77.0,5.82
262,Yellowknife,20,CA,1512363600,75,62.46,-114.35,-18.41,2.24
263,Punta Arenas,0,CL,1512363600,66,-53.15,-70.92,55.4,21.92
264,Ellwangen,90,DE,1512364800,100,48.96,10.13,32.0,9.17
265,Punta Arenas,0,CL,1512363600,66,-53.15,-70.92,55.4,21.92
266,Tasiilaq,0,GL,1512365269,100,65.61,-37.64,15.67,8.61
267,Dikson,12,RU,1512365266,95,73.51,80.55,2.89,17.49
268,Port Lincoln,0,AU,1512365508,90,-34.73,135.87,63.37,10.67
269,Busselton,80,AU,1512365244,92,-33.65,115.33,70.89,8.43
270,Lebu,20,CL,1512365256,98,-37.62,-73.65,53.97,17.83
271,Zarubino,0,RU,1512365509,100,42.63,131.09,19.54,12.19
272,Hilo,90,US,1512363360,68,19.73,-155.09,71.6,8.05
273,Saint-Georges,88,CA,1512365348,95,46.62,-72.66,25.12,2.01
274,Ust-Nera,12,RU,1512365510,0,64.57,143.2,-44.99,1.83
275,Ushuaia,0,AR,1512360000,50,-54.8,-68.3,57.2,2.24
276,Saint-Philippe,0,RE,1512363600,66,-21.36,55.77,84.2,8.05
277,Punta Arenas,0,CL,1512363600,66,-53.15,-70.92,55.4,21.92
278,Cape Town,20,ZA,1512363600,63,-33.93,18.42,64.4,17.22
279,Hithadhoo,68,MV,1512365512,100,-0.6,73.08,80.47,13.35
280,Honiara,75,SB,1512363600,94,-9.43,159.95,80.6,9.17
281,Hithadhoo,68,MV,1512365512,100,-0.6,73.08,80.47,13.35
282,Dwarka,8,IN,1512365513,89,22.24,68.97,78.04,16.15
283,Nabire,36,ID,1512365514,76,-3.37,135.48,81.06,1.79
284,Kerema,56,PG,1512365514,76,-7.96,145.78,82.14,3.06
285,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
286,Misratah,92,LY,1512365515,99,32.38,15.09,56.35,15.37
287,Korla,68,CN,1512365516,44,41.76,86.15,37.32,4.14
288,Ushuaia,0,AR,1512360000,50,-54.8,-68.3,57.2,2.24
289,Jamestown,1,US,1512363360,92,42.1,-79.24,30.2,3.36
290,Ushuaia,0,AR,1512360000,50,-54.8,-68.3,57.2,2.24
291,Itoman,40,JP,1512363360,68,26.12,127.67,73.4,17.22
292,Bathsheba,40,BB,1512363600,88,13.22,-59.52,80.6,17.22
293,Konstancin-Jeziorna,75,PL,1512363600,92,52.09,21.12,30.2,8.05
294,Fairbanks,20,US,1512363480,92,64.84,-147.72,19.4,16.71
295,Jamestown,1,US,1512363360,92,42.1,-79.24,30.2,3.36
296,Terrace,90,CA,1512363600,92,54.52,-128.6,30.2,2.24
297,Hobart,75,AU,1512363600,51,-42.88,147.33,59.0,16.11
298,Upernavik,76,GL,1512365275,100,72.79,-56.15,21.84,2.13
299,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
300,Albany,1,US,1512364500,92,42.65,-73.76,35.6,1.79
301,Kavieng,80,PG,1512365521,100,-2.57,150.8,85.06,17.34
302,Atuona,68,PF,1512365413,97,-9.8,-139.03,81.51,18.12
303,Mar del Plata,75,AR,1512360000,82,-38.0,-57.56,55.4,12.75
304,Barrow,90,US,1512363180,84,71.29,-156.79,5.0,25.28
305,Vestmannaeyjar,92,IS,1512365308,100,63.44,-20.27,41.37,13.13
306,Calceta,90,EC,1512363600,83,-0.85,-80.17,75.2,9.17
307,Deputatskiy,56,RU,1512365523,73,69.3,139.9,-17.63,2.91
308,Nakhon Ratchasima,20,TH,1512363600,58,14.97,102.1,86.0,13.87
309,Iqaluit,75,CA,1512363600,78,63.75,-68.51,17.6,16.11
310,Albany,1,US,1512364500,92,42.65,-73.76,35.6,1.79
311,Kieta,92,PG,1512365525,100,-6.22,155.63,74.26,4.14
312,Punta Arenas,0,CL,1512363600,66,-53.15,-70.92,55.4,21.92
313,Khorixas,0,NA,1512365526,54,-20.37,14.97,65.71,4.41
314,Thompson,90,CA,1512363600,92,55.74,-97.86,21.2,3.36
315,Deputatskiy,56,RU,1512365523,73,69.3,139.9,-17.63,2.91
316,Pangody,20,RU,1512365527,82,65.85,74.49,21.57,12.19
317,Luderitz,0,NA,1512363600,82,-26.65,15.16,57.2,6.93
318,Atar,0,MR,1512365527,67,20.52,-13.05,49.56,4.03
319,Beloha,0,MG,1512365528,98,-25.17,45.05,83.08,4.81
320,Belmonte,75,BR,1512363600,94,-15.86,-38.88,75.2,6.93
321,Bhadasar,12,IN,1512365529,30,28.28,74.32,73.86,5.26
322,Arshan,90,RU,1512363600,100,46.27,44.22,42.8,15.66
323,Bowen,36,AU,1512360000,58,-20.02,148.23,87.8,3.36
324,Busselton,80,AU,1512365244,92,-33.65,115.33,70.89,8.43
325,Bredasdorp,8,ZA,1512363600,68,-34.53,20.04,64.4,1.12
326,Hermanus,20,ZA,1512365452,72,-34.42,19.23,61.03,4.85
327,Karachev,90,RU,1512363600,100,53.12,34.99,33.8,8.95
328,Yankton,1,US,1512363360,87,42.87,-97.4,46.4,6.93
329,Kalmunai,56,LK,1512365533,90,7.42,81.82,82.27,6.04
330,La Ronge,90,CA,1512363600,78,55.1,-105.28,14.0,10.29
331,Abnub,0,EG,1512363600,71,27.27,31.15,51.8,2.24
332,Pevek,8,RU,1512365534,76,69.7,170.31,19.32,10.89
333,Bonavista,88,CA,1512365535,100,48.65,-53.11,35.74,17.94
334,Constitucion,0,CL,1512365491,98,-35.33,-72.42,52.39,10.11
335,Busselton,80,AU,1512365244,92,-33.65,115.33,70.89,8.43
336,Tiarei,40,PF,1512363600,69,-17.53,-149.33,80.6,2.24
337,Port Elizabeth,0,ZA,1512363600,72,-33.92,25.57,66.2,2.24
338,Busselton,80,AU,1512365244,92,-33.65,115.33,70.89,8.43
339,Chuy,92,UY,1512365444,89,-33.7,-53.46,63.46,15.21
340,Bluff,92,NZ,1512365393,80,-46.6,168.33,66.66,17.16
341,Tuktoyaktuk,40,CA,1512363600,77,69.45,-133.04,1.4,14.99
342,Nanortalik,0,GL,1512365538,100,60.14,-45.24,25.84,14.47
343,Jamestown,1,US,1512363360,92,42.1,-79.24,30.2,3.36
344,Chokurdakh,48,RU,1512365539,78,70.63,147.92,4.87,14.81
345,Bethel,1,US,1512363360,92,41.37,-73.41,41.0,2.24
346,Saint-Philippe,0,RE,1512363600,66,-21.36,55.77,84.2,8.05
347,Ushuaia,0,AR,1512360000,50,-54.8,-68.3,57.2,2.24
348,Esperance,92,AU,1512365540,34,-33.87,121.9,82.86,4.92
349,Luderitz,0,NA,1512363600,82,-26.65,15.16,57.2,6.93
350,Ostersund,88,SE,1512363000,80,63.18,14.64,30.2,12.75
351,San Pedro,40,PH,1512360000,79,14.35,121.02,86.0,6.93
352,Hilo,90,US,1512363360,68,19.73,-155.09,71.6,8.05
353,Hithadhoo,68,MV,1512365512,100,-0.6,73.08,80.47,13.35
354,Sisimiut,80,GL,1512365542,100,66.94,-53.67,16.62,2.62
355,Ushuaia,0,AR,1512360000,50,-54.8,-68.3,57.2,2.24
356,Georgetown,92,GY,1512363600,100,6.8,-58.16,75.2,4.7
357,Albany,1,US,1512364500,92,42.65,-73.76,35.6,1.79
358,Fredericton,90,CA,1512363600,92,45.95,-66.67,30.2,3.36
359,Esperance,92,AU,1512365540,34,-33.87,121.9,82.86,4.92
360,Punta Arenas,0,CL,1512363600,66,-53.15,-70.92,55.4,21.92
361,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
362,Aklavik,75,CA,1512363600,77,68.22,-135.01,5.0,8.05
363,Kodiak,90,US,1512363180,87,57.79,-152.41,42.8,23.04
364,Gizo,68,SB,1512365546,100,-8.1,156.84,83.89,12.19
365,Qaanaaq,64,GL,1512365236,91,77.48,-69.36,13.56,4.29
366,Jamestown,1,US,1512363360,92,42.1,-79.24,30.2,3.36
367,Bethel,1,US,1512363360,92,41.37,-73.41,41.0,2.24
368,Mar del Plata,75,AR,1512360000,82,-38.0,-57.56,55.4,12.75
369,Chuy,92,UY,1512365444,89,-33.7,-53.46,63.46,15.21
370,Meulaboh,100,ID,1512365547,100,4.14,96.13,76.02,19.13
